season;round;date;time;location;team1;team2;result1;result2;attendance
1970-1971;4.0;1970.08.30;16:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Dunaújvárosi Kohász SE;1.0;0.0;6000.0
1970-1971;4.0;1970.08.30;16:30;Vagongyári pálya;Rába Vasas ETO;Pécsi Dózsa SC;0.0;1.0;5000.0
1970-1971;4.0;1970.08.30;16:30;Sóstói Stadion;Videoton SC;Szegedi EOL;1.0;0.0;8000.0
1970-1971;4.0;1970.08.30;16:30;Kohász Stadion;Salgótarjáni BTC;Budapesti Honvéd SE;3.0;1.0;8000.0
1970-1971;4.0;1970.08.30;16:30;Bányász Stadion;Komlói Bányász SK;MTK;1.0;1.0;5000.0
1970-1971;4.0;1970.08.30;18:00;Megyeri úti Stadion;Újpesti Dózsa SC;Szombathelyi Haladás VSE;4.0;2.0;18000.0
1970-1971;3.0;1970.08.22;18:00;Megyeri úti Stadion;Újpesti Dózsa SC;Diósgyőri Vasgyárak TK;5.0;1.0;8000.0
1970-1971;3.0;1970.08.23;16:30;Kohász Stadion;Dunaújvárosi Kohász SE;Komlói Bányász SK;2.0;1.0;4500.0
1970-1971;3.0;1970.08.23;16:30;Honvéd-pálya;Budapesti Honvéd SE;Videoton SC;2.0;1.0;8000.0
1970-1971;3.0;1970.08.23;16:30;Felső Tisza-parti Stadion;Szegedi EOL;Csepel SC;0.0;1.0;5000.0
1970-1971;3.0;1970.08.23;16:30;Bányász Stadion;Tatabányai Bányász SC;Rába Vasas ETO;2.0;0.0;6000.0
1970-1971;3.0;1970.08.23;16:30;PVSK Stadion;Pécsi Dózsa SC;Vasas SC;3.0;1.0;12000.0
1970-1971;3.0;1970.08.23;16:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Ferencvárosi TC;1.0;0.0;12000.0
1970-1971;3.0;1970.09.16;15:30;Hungária körúti Stadion;MTK;Salgótarjáni BTC;3.0;0.0;5000.0
1970-1971;2.0;1970.08.12;17:00;Fáy utcai Stadion;Vasas SC;Tatabányai Bányász SC;2.0;0.0;6000.0
1970-1971;2.0;1970.08.15;17:00;Népstadion;Ferencvárosi TC;Pécsi Dózsa SC;3.0;1.0;10000.0
1970-1971;2.0;1970.08.15;19:30;Béke téri Stadion;Csepel SC;Budapesti Honvéd SE;2.0;1.0;10000.0
1970-1971;2.0;1970.08.16;16:30;Bányász Stadion;Komlói Bányász SK;Újpesti Dózsa SC;0.0;6.0;6000.0
1970-1971;2.0;1970.08.16;16:30;Kohász Stadion;Salgótarjáni BTC;Dunaújvárosi Kohász SE;3.0;1.0;5000.0
1970-1971;2.0;1970.08.16;16:30;Sóstói Stadion;Videoton SC;MTK;1.0;1.0;10000.0
1970-1971;2.0;1970.08.16;16:30;Vagongyári pálya;Rába Vasas ETO;Szegedi EOL;2.0;0.0;3500.0
1970-1971;2.0;1970.08.16;16:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Diósgyőri Vasgyárak TK;3.0;2.0;8000.0
1970-1971;1.0;1970.08.08;17:00;Hungária körúti Stadion;MTK;Csepel SC;1.0;1.0;4000.0
1970-1971;1.0;1970.08.08;19:30;Megyeri úti Stadion;Újpesti Dózsa SC;Salgótarjáni BTC;5.0;0.0;10000.0
1970-1971;1.0;1970.08.09;16:30;Felső Tisza-parti Stadion;Szegedi EOL;Vasas SC;0.0;2.0;8000.0
1970-1971;1.0;1970.08.09;17:00;Bányász Stadion;Tatabányai Bányász SC;Ferencvárosi TC;1.0;2.0;8000.0
1970-1971;1.0;1970.08.09;17:00;PVSK Stadion;Pécsi Dózsa SC;Szombathelyi Haladás VSE;4.0;1.0;5000.0
1970-1971;1.0;1970.08.09;17:00;Honvéd-pálya;Budapesti Honvéd SE;Rába Vasas ETO;4.0;0.0;5000.0
1970-1971;1.0;1970.08.09;17:00;Kohász Stadion;Dunaújvárosi Kohász SE;Videoton SC;1.0;0.0;5000.0
1970-1971;1.0;1970.08.09;17:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Komlói Bányász SK;1.0;1.0;3000.0
1971-1972;30.0;1972.07.05;17:30;Vagongyári pálya;Rába Vasas ETO;Egri Dózsa SE;3.0;1.0;4000.0
1971-1972;30.0;1972.07.05;17:30;Sóstói Stadion;Videoton SC;Salgótarjáni BTC;7.0;4.0;5000.0
1971-1972;30.0;1972.07.05;17:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Szombathelyi Haladás VSE;2.0;0.0;5000.0
1971-1972;30.0;1972.07.05;17:30;Bányász Stadion;Komlói Bányász SK;Újpesti Dózsa SC;2.0;1.0;4000.0
1971-1972;30.0;1972.07.05;17:30;Honvéd-pálya;Budapesti Honvéd SE;Tatabányai Bányász SC;1.0;0.0;5000.0
1971-1972;30.0;1972.07.05;17:30;Hungária körúti Stadion;MTK;VM Egyetértés SK;0.0;0.0;3500.0
1971-1972;30.0;1972.07.05;17:30;Béke téri Stadion;Csepel SC;Ferencvárosi TC;1.0;1.0;5000.0
1971-1972;30.0;1972.07.05;17:55;Fáy utcai Stadion;Vasas SC;Pécsi Dózsa SC;2.0;1.0;5000.0
1971-1972;29.0;1972.07.02;17:30;Bányász Stadion;Tatabányai Bányász SC;Rába Vasas ETO;0.0;0.0;5000.0
1971-1972;29.0;1972.07.02;17:30;Megyeri úti Stadion;Újpesti Dózsa SC;MTK;6.0;3.0;10000.0
1971-1972;29.0;1972.07.02;17:30;Egyetértés-pálya;VM Egyetértés SK;Csepel SC;1.0;1.0;4000.0
1971-1972;29.0;1972.07.02;17:30;PVSK Stadion;Pécsi Dózsa SC;Videoton SC;1.0;1.0;4000.0
1971-1972;29.0;1972.07.02;17:30;Kohász Stadion;Salgótarjáni BTC;Budapesti Honvéd SE;3.0;1.0;15000.0
1971-1972;29.0;1972.07.02;17:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Komlói Bányász SK;2.0;3.0;2000.0
1971-1972;29.0;1972.07.02;17:30;Városi Stadion;Egri Dózsa SE;Diósgyőri Vasgyárak TK;1.0;1.0;12000.0
1971-1972;29.0;1972.07.02;19:30;Népstadion;Ferencvárosi TC;Vasas SC;2.0;5.0;20000.0
1971-1972;28.0;1972.06.24;17:30;Bányász Stadion;Tatabányai Bányász SC;Salgótarjáni BTC;4.0;1.0;5000.0
1971-1972;28.0;1972.06.24;20:00;Honvéd-pálya;Budapesti Honvéd SE;Pécsi Dózsa SC;2.0;0.0;2000.0
1971-1972;28.0;1972.06.25;17:00;Hungária körúti Stadion;MTK;Szombathelyi Haladás VSE;6.0;0.0;3000.0
1971-1972;28.0;1972.06.25;17:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Rába Vasas ETO;1.0;0.0;7000.0
1971-1972;28.0;1972.06.25;17:30;Fáy utcai Stadion;Vasas SC;VM Egyetértés SK;3.0;2.0;2000.0
1971-1972;28.0;1972.06.25;17:30;Béke téri Stadion;Csepel SC;Újpesti Dózsa SC;0.0;2.0;8000.0
1971-1972;28.0;1972.06.25;17:30;Bányász Stadion;Komlói Bányász SK;Egri Dózsa SE;4.0;1.0;3000.0
1971-1972;28.0;1972.06.25;17:30;Sóstói Stadion;Videoton SC;Ferencvárosi TC;4.0;3.0;15000.0
1971-1972;27.0;1972.06.07;17:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Komlói Bányász SK;3.0;1.0;7000.0
1971-1972;27.0;1972.06.07;17:30;Városi Stadion;Egri Dózsa SE;MTK;1.0;1.0;10000.0
1971-1972;27.0;1972.06.07;17:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Csepel SC;1.0;3.0;3000.0
1971-1972;27.0;1972.06.07;17:30;Egyetértés-pálya;VM Egyetértés SK;Videoton SC;0.0;0.0;2000.0
1971-1972;27.0;1972.06.07;17:30;PVSK Stadion;Pécsi Dózsa SC;Tatabányai Bányász SC;1.0;1.0;4000.0
1971-1972;27.0;1972.06.07;17:30;Vagongyári pálya;Rába Vasas ETO;Salgótarjáni BTC;0.0;1.0;3500.0
1971-1972;27.0;1972.06.07;17:30;Megyeri úti Stadion;Újpesti Dózsa SC;Vasas SC;1.0;0.0;10000.0
1971-1972;27.0;1972.06.07;20:00;Népstadion;Ferencvárosi TC;Budapesti Honvéd SE;4.0;2.0;20000.0
1971-1972;26.0;1972.06.03;16:00;Béke téri Stadion;Csepel SC;Egri Dózsa SE;1.0;0.0;1500.0
1971-1972;26.0;1972.06.03;17:30;Sóstói Stadion;Videoton SC;Újpesti Dózsa SC;1.0;3.0;8000.0
1971-1972;26.0;1972.06.03;19:30;Honvéd-pálya;Budapesti Honvéd SE;VM Egyetértés SK;4.0;0.0;4000.0
1971-1972;26.0;1972.06.04;16:30;Kohász Stadion;Salgótarjáni BTC;Pécsi Dózsa SC;2.0;0.0;7000.0
1971-1972;26.0;1972.06.04;17:00;Hungária körúti Stadion;MTK;Diósgyőri Vasgyárak TK;0.0;0.0;6000.0
1971-1972;26.0;1972.06.04;17:00;Bányász Stadion;Komlói Bányász SK;Rába Vasas ETO;4.0;1.0;3000.0
1971-1972;26.0;1972.06.04;17:30;Fáy utcai Stadion;Vasas SC;Szombathelyi Haladás VSE;5.0;2.0;3000.0
1971-1972;26.0;1972.06.04;17:30;Bányász Stadion;Tatabányai Bányász SC;Ferencvárosi TC;0.0;0.0;18000.0
1971-1972;25.0;1972.05.27;17:30;Béke téri Stadion;Csepel SC;Komlói Bányász SK;2.0;1.0;800.0
1971-1972;25.0;1972.05.28;17:00;Fáy utcai Stadion;Vasas SC;Diósgyőri Vasgyárak TK;0.0;0.0;3000.0
1971-1972;25.0;1972.05.28;17:30;Kohász Stadion;Salgótarjáni BTC;VM Egyetértés SK;1.0;0.0;5000.0
1971-1972;25.0;1972.05.28;17:30;Hungária körúti Stadion;MTK;Rába Vasas ETO;5.0;0.0;5000.0
1971-1972;25.0;1972.05.28;17:30;Bányász Stadion;Tatabányai Bányász SC;Újpesti Dózsa SC;1.0;0.0;8000.0
1971-1972;25.0;1972.05.28;17:30;Sóstói Stadion;Videoton SC;Egri Dózsa SE;8.0;0.0;6000.0
1971-1972;25.0;1972.05.28;17:30;PVSK Stadion;Pécsi Dózsa SC;Ferencvárosi TC;3.0;1.0;12000.0
1971-1972;25.0;1972.05.28;18:00;Kispesti Pálya;Budapesti Honvéd SE;Szombathelyi Haladás VSE;4.0;0.0;3000.0
1971-1972;24.0;1972.05.31;16:30;Bányász Stadion;Komlói Bányász SK;MTK;1.0;1.0;3000.0
1971-1972;24.0;1972.05.31;17:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Csepel SC;2.0;1.0;6000.0
1971-1972;24.0;1972.05.31;17:30;Városi Stadion;Egri Dózsa SE;Vasas SC;3.0;1.0;9000.0
1971-1972;24.0;1972.05.31;17:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Videoton SC;0.0;1.0;4000.0
1971-1972;24.0;1972.05.31;17:30;Megyeri úti Stadion;Újpesti Dózsa SC;Budapesti Honvéd SE;1.0;1.0;12000.0
1971-1972;24.0;1972.05.31;17:30;Egyetértés-pálya;VM Egyetértés SK;Tatabányai Bányász SC;0.0;0.0;2500.0
1971-1972;24.0;1972.05.31;17:30;Népstadion;Ferencvárosi TC;Salgótarjáni BTC;0.0;0.0;15000.0
1971-1972;24.0;1972.06.28;17:30;Vagongyári pálya;Rába Vasas ETO;Pécsi Dózsa SC;3.0;3.0;3500.0
1971-1972;23.0;1972.07.09;17:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Videoton SC;1.0;3.0;4000.0
1971-1972;23.0;1972.07.09;17:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Tatabányai Bányász SC;1.0;2.0;2000.0
1971-1972;23.0;1972.07.09;17:30;Bányász Stadion;Komlói Bányász SK;Vasas SC;2.0;2.0;5000.0
1971-1972;23.0;1972.07.09;17:30;Városi Stadion;Egri Dózsa SE;Budapesti Honvéd SE;0.0;4.0;8000.0
1971-1972;23.0;1972.07.09;17:30;Megyeri úti Stadion;Újpesti Dózsa SC;Salgótarjáni BTC;6.0;1.0;5000.0
1971-1972;23.0;1972.07.09;17:30;Egyetértés-pálya;VM Egyetértés SK;Pécsi Dózsa SC;0.0;0.0;1500.0
1971-1972;23.0;1972.07.09;17:30;Hungária körúti Stadion;MTK;Csepel SC;3.0;1.0;3000.0
1971-1972;23.0;1972.07.09;17:30;Vagongyári pálya;Rába Vasas ETO;Ferencvárosi TC;1.0;1.0;5500.0
1971-1972;22.0;1972.04.21;17:00;Béke téri Stadion;Csepel SC;Rába Vasas ETO;2.0;1.0;1500.0
1971-1972;22.0;1972.04.22;16:30;Fáy utcai Stadion;Vasas SC;MTK;1.0;4.0;3500.0
1971-1972;22.0;1972.04.22;17:30;Honvéd-pálya;Budapesti Honvéd SE;Diósgyőri Vasgyárak TK;3.0;0.0;3000.0
1971-1972;22.0;1972.04.23;16:30;Sóstói Stadion;Videoton SC;Komlói Bányász SK;2.0;1.0;8000.0
1971-1972;22.0;1972.04.23;16:30;PVSK Stadion;Pécsi Dózsa SC;Újpesti Dózsa SC;1.0;1.0;15000.0
1971-1972;22.0;1972.04.23;16:30;Kohász Stadion;Salgótarjáni BTC;Szombathelyi Haladás VSE;3.0;0.0;4000.0
1971-1972;22.0;1972.04.23;16:30;Bányász Stadion;Tatabányai Bányász SC;Egri Dózsa SE;2.0;1.0;5000.0
1971-1972;22.0;1972.04.23;16:30;Népstadion;Ferencvárosi TC;VM Egyetértés SK;3.0;1.0;10000.0
1971-1972;21.0;1972.04.15;16:30;Megyeri úti Stadion;Újpesti Dózsa SC;Ferencvárosi TC;0.0;2.0;18000.0
1971-1972;21.0;1972.04.16;11:00;Béke téri Stadion;Csepel SC;Vasas SC;3.0;0.0;5000.0
1971-1972;21.0;1972.04.16;16:30;Bányász Stadion;Komlói Bányász SK;Budapesti Honvéd SE;0.0;0.0;4000.0
1971-1972;21.0;1972.04.16;16:30;Hungária körúti Stadion;MTK;Videoton SC;1.0;0.0;4500.0
1971-1972;21.0;1972.04.16;16:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Tatabányai Bányász SC;1.0;2.0;8000.0
1971-1972;21.0;1972.04.16;16:30;Városi Stadion;Egri Dózsa SE;Salgótarjáni BTC;1.0;1.0;15000.0
1971-1972;21.0;1972.04.16;16:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Pécsi Dózsa SC;0.0;2.0;3000.0
1971-1972;21.0;1972.04.16;16:30;Vagongyári pálya;Rába Vasas ETO;VM Egyetértés SK;2.0;2.0;4000.0
1971-1972;20.0;1972.04.08;16:00;Sóstói Stadion;Videoton SC;Csepel SC;2.0;0.0;6000.0
1971-1972;20.0;1972.04.08;16:00;Fáy utcai Stadion;Vasas SC;Rába Vasas ETO;1.0;4.0;3000.0
1971-1972;20.0;1972.04.09;16:00;Bányász Stadion;Tatabányai Bányász SC;Komlói Bányász SK;2.0;1.0;5000.0
1971-1972;20.0;1972.04.09;16:00;Egyetértés-pálya;VM Egyetértés SK;Újpesti Dózsa SC;1.0;2.0;10000.0
1971-1972;20.0;1972.04.09;16:00;PVSK Stadion;Pécsi Dózsa SC;Egri Dózsa SE;0.0;2.0;4000.0
1971-1972;20.0;1972.04.09;16:00;Népstadion;Ferencvárosi TC;Szombathelyi Haladás VSE;3.0;1.0;8000.0
1971-1972;20.0;1972.04.09;16:00;Kohász Stadion;Salgótarjáni BTC;Diósgyőri Vasgyárak TK;3.0;0.0;6000.0
1971-1972;20.0;1972.04.09;18:00;Kispesti Pálya;Budapesti Honvéd SE;MTK;1.0;0.0;10000.0
1971-1972;19.0;1972.04.01;16:00;Népstadion;Ferencvárosi TC;Diósgyőri Vasgyárak TK;0.0;1.0;5000.0
1971-1972;19.0;1972.04.01;16:00;Honvéd-pálya;Budapesti Honvéd SE;Vasas SC;5.0;2.0;3000.0
1971-1972;19.0;1972.04.02;16:00;Sóstói Stadion;Videoton SC;Rába Vasas ETO;2.0;1.0;5000.0
1971-1972;19.0;1972.04.02;16:00;PVSK Stadion;Pécsi Dózsa SC;Komlói Bányász SK;0.0;0.0;8000.0
1971-1972;19.0;1972.04.02;16:00;Kohász Stadion;Salgótarjáni BTC;MTK;1.0;3.0;9000.0
1971-1972;19.0;1972.04.02;16:00;Bányász Stadion;Tatabányai Bányász SC;Csepel SC;0.0;0.0;5000.0
1971-1972;19.0;1972.04.02;16:00;Egyetértés-pálya;VM Egyetértés SK;Egri Dózsa SE;0.0;0.0;2500.0
1971-1972;19.0;1972.04.02;18:00;Megyeri úti Stadion;Újpesti Dózsa SC;Szombathelyi Haladás VSE;3.0;0.0;4000.0
1971-1972;18.0;1972.03.18;15:30;Városi Stadion;Egri Dózsa SE;Újpesti Dózsa SC;1.0;3.0;10000.0
1971-1972;18.0;1972.03.19;11:00;Hungária körúti Stadion;MTK;Pécsi Dózsa SC;1.0;0.0;4500.0
1971-1972;18.0;1972.03.19;14:30;Bányász Stadion;Komlói Bányász SK;Ferencvárosi TC;1.0;0.0;8000.0
1971-1972;18.0;1972.03.19;15:30;Sóstói Stadion;Videoton SC;Budapesti Honvéd SE;0.0;1.0;8000.0
1971-1972;18.0;1972.03.19;15:30;Béke téri Stadion;Csepel SC;Salgótarjáni BTC;0.0;1.0;3500.0
1971-1972;18.0;1972.03.19;15:30;Fáy utcai Stadion;Vasas SC;Tatabányai Bányász SC;1.0;1.0;6000.0
1971-1972;18.0;1972.03.19;15:30;DVTK Stadion;Diósgyőri Vasgyárak TK;VM Egyetértés SK;0.0;1.0;10000.0
1971-1972;18.0;1972.03.19;15:30;Vagongyári pálya;Rába Vasas ETO;Szombathelyi Haladás VSE;2.0;0.0;4000.0
1971-1972;17.0;1972.03.11;15:00;Kohász Stadion;Salgótarjáni BTC;Vasas SC;1.0;1.0;7000.0
1971-1972;17.0;1972.03.11;17:30;Honvéd-pálya;Budapesti Honvéd SE;Rába Vasas ETO;0.0;1.0;4000.0
1971-1972;17.0;1972.03.12;15:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;Egri Dózsa SE;0.0;1.0;3000.0
1971-1972;17.0;1972.03.12;15:00;Egyetértés-pálya;VM Egyetértés SK;Komlói Bányász SK;3.0;0.0;1500.0
1971-1972;17.0;1972.03.12;15:00;PVSK Stadion;Pécsi Dózsa SC;Csepel SC;3.0;1.0;3000.0
1971-1972;17.0;1972.03.12;15:00;Bányász Stadion;Tatabányai Bányász SC;Videoton SC;4.0;1.0;4000.0
1971-1972;17.0;1972.03.12;15:00;Népstadion;Ferencvárosi TC;MTK;1.0;0.0;10000.0
1971-1972;17.0;1972.03.12;17:00;Megyeri úti Stadion;Újpesti Dózsa SC;Diósgyőri Vasgyárak TK;2.0;1.0;3000.0
1971-1972;16.0;1972.03.04;15:00;Vagongyári pálya;Rába Vasas ETO;Újpesti Dózsa SC;1.0;3.0;6000.0
1971-1972;16.0;1972.03.05;11:00;Béke téri Stadion;Csepel SC;Budapesti Honvéd SE;3.0;1.0;10000.0
1971-1972;16.0;1972.03.05;15:00;Hungária körúti Stadion;MTK;Tatabányai Bányász SC;0.0;0.0;7000.0
1971-1972;16.0;1972.03.05;15:00;Fáy utcai Stadion;Vasas SC;Videoton SC;1.0;0.0;6000.0
1971-1972;16.0;1972.03.05;15:00;Bányász Stadion;Komlói Bányász SK;Salgótarjáni BTC;0.0;2.0;7000.0
1971-1972;16.0;1972.03.05;15:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Pécsi Dózsa SC;1.0;0.0;8000.0
1971-1972;16.0;1972.03.05;15:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;VM Egyetértés SK;1.0;0.0;8000.0
1971-1972;16.0;1972.03.05;15:00;Városi Stadion;Egri Dózsa SE;Ferencvárosi TC;0.0;1.0;18000.0
1971-1972;15.0;1971.12.04;16:00;Népstadion;Ferencvárosi TC;Komlói Bányász SK;5.0;0.0;8000.0
1971-1972;15.0;1971.12.05;13:30;Kispesti Pálya;Budapesti Honvéd SE;Videoton SC;0.0;1.0;3000.0
1971-1972;15.0;1971.12.05;13:30;Bányász Stadion;Tatabányai Bányász SC;Vasas SC;1.0;3.0;4000.0
1971-1972;15.0;1971.12.05;13:30;Kohász Stadion;Salgótarjáni BTC;Csepel SC;3.0;2.0;6000.0
1971-1972;15.0;1971.12.05;13:30;Egyetértés-pálya;VM Egyetértés SK;Diósgyőri Vasgyárak TK;1.0;0.0;1500.0
1971-1972;15.0;1971.12.05;13:30;PVSK Stadion;Pécsi Dózsa SC;MTK;0.0;0.0;3000.0
1971-1972;15.0;1971.12.05;13:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Rába Vasas ETO;3.0;3.0;4000.0
1971-1972;15.0;1971.12.05;15:00;Megyeri úti Stadion;Újpesti Dózsa SC;Egri Dózsa SE;5.0;1.0;4000.0
1971-1972;14.0;1971.11.27;13:30;Béke téri Stadion;Csepel SC;Pécsi Dózsa SC;0.0;1.0;800.0
1971-1972;14.0;1971.11.27;13:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Újpesti Dózsa SC;1.0;1.0;4000.0
1971-1972;14.0;1971.11.28;11:00;Hungária körúti Stadion;MTK;Ferencvárosi TC;2.0;2.0;15000.0
1971-1972;14.0;1971.11.28;13:30;Vagongyári pálya;Rába Vasas ETO;Budapesti Honvéd SE;0.0;0.0;3000.0
1971-1972;14.0;1971.11.28;13:30;Bányász Stadion;Komlói Bányász SK;VM Egyetértés SK;2.0;2.0;1500.0
1971-1972;14.0;1971.11.28;13:30;Fáy utcai Stadion;Vasas SC;Salgótarjáni BTC;0.0;1.0;5000.0
1971-1972;14.0;1971.11.28;13:30;Sóstói Stadion;Videoton SC;Tatabányai Bányász SC;2.0;0.0;4000.0
1971-1972;14.0;1971.11.28;13:30;Városi Stadion;Egri Dózsa SE;Szombathelyi Haladás VSE;3.0;2.0;2500.0
1971-1972;13.0;1971.11.20;13:30;Sóstói Stadion;Videoton SC;Vasas SC;1.0;1.0;3000.0
1971-1972;13.0;1971.11.20;16:30;Népstadion;Ferencvárosi TC;Egri Dózsa SE;6.0;1.0;2000.0
1971-1972;13.0;1971.11.21;13:30;Honvéd-pálya;Budapesti Honvéd SE;Csepel SC;3.0;0.0;4000.0
1971-1972;13.0;1971.11.21;13:30;Bányász Stadion;Tatabányai Bányász SC;MTK;2.0;0.0;4000.0
1971-1972;13.0;1971.11.21;13:30;Kohász Stadion;Salgótarjáni BTC;Komlói Bányász SK;5.0;1.0;5000.0
1971-1972;13.0;1971.11.21;13:30;PVSK Stadion;Pécsi Dózsa SC;Diósgyőri Vasgyárak TK;2.0;0.0;2000.0
1971-1972;13.0;1971.11.21;13:30;Egyetértés-pálya;VM Egyetértés SK;Szombathelyi Haladás VSE;1.0;1.0;1500.0
1971-1972;13.0;1971.11.21;15:00;Megyeri úti Stadion;Újpesti Dózsa SC;Rába Vasas ETO;8.0;1.0;6000.0
1971-1972;12.0;1971.11.14;13:30;Bányász Stadion;Komlói Bányász SK;Pécsi Dózsa SC;1.0;1.0;8000.0
1971-1972;12.0;1971.11.17;13:30;Vagongyári pálya;Rába Vasas ETO;Videoton SC;2.0;1.0;2000.0
1971-1972;12.0;1971.11.17;13:30;Hungária körúti Stadion;MTK;Salgótarjáni BTC;0.0;2.0;1500.0
1971-1972;12.0;1971.11.17;13:30;Fáy utcai Stadion;Vasas SC;Budapesti Honvéd SE;1.0;1.0;3000.0
1971-1972;12.0;1971.11.17;13:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Újpesti Dózsa SC;2.0;4.0;12000.0
1971-1972;12.0;1971.11.17;13:30;Városi Stadion;Egri Dózsa SE;VM Egyetértés SK;0.0;0.0;2500.0
1971-1972;12.0;1971.11.17;13:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Ferencvárosi TC;2.0;2.0;8000.0
1971-1972;12.0;1971.11.17;16:30;Béke téri Stadion;Csepel SC;Tatabányai Bányász SC;2.0;1.0;500.0
1971-1972;11.0;1971.11.06;17:00;Honvéd-pálya;Budapesti Honvéd SE;Komlói Bányász SK;0.0;0.0;5000.0
1971-1972;11.0;1971.11.07;13:30;Fáy utcai Stadion;Vasas SC;Csepel SC;0.0;1.0;3000.0
1971-1972;11.0;1971.11.07;13:30;Sóstói Stadion;Videoton SC;MTK;1.0;1.0;5000.0
1971-1972;11.0;1971.11.07;13:30;Bányász Stadion;Tatabányai Bányász SC;Diósgyőri Vasgyárak TK;4.0;1.0;5000.0
1971-1972;11.0;1971.11.07;13:30;Kohász Stadion;Salgótarjáni BTC;Egri Dózsa SE;3.0;0.0;5000.0
1971-1972;11.0;1971.11.07;13:30;PVSK Stadion;Pécsi Dózsa SC;Szombathelyi Haladás VSE;1.0;0.0;5000.0
1971-1972;11.0;1971.11.07;13:30;Egyetértés-pálya;VM Egyetértés SK;Rába Vasas ETO;1.0;1.0;2500.0
1971-1972;11.0;1971.11.07;17:00;Népstadion;Ferencvárosi TC;Újpesti Dózsa SC;1.0;2.0;17000.0
1971-1972;10.0;1971.10.30;14:00;Egyetértés-pálya;VM Egyetértés SK;Ferencvárosi TC;0.0;0.0;6000.0
1971-1972;10.0;1971.10.30;14:00;Hungária körúti Stadion;MTK;Vasas SC;1.0;4.0;1000.0
1971-1972;10.0;1971.10.30;17:00;Megyeri úti Stadion;Újpesti Dózsa SC;Pécsi Dózsa SC;0.0;0.0;5000.0
1971-1972;10.0;1971.10.31;14:00;Vagongyári pálya;Rába Vasas ETO;Csepel SC;0.0;0.0;2000.0
1971-1972;10.0;1971.10.31;14:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Budapesti Honvéd SE;0.0;2.0;5000.0
1971-1972;10.0;1971.10.31;14:00;Bányász Stadion;Komlói Bányász SK;Videoton SC;1.0;0.0;3000.0
1971-1972;10.0;1971.10.31;14:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;Salgótarjáni BTC;1.0;1.0;6000.0
1971-1972;10.0;1971.10.31;14:00;Városi Stadion;Egri Dózsa SE;Tatabányai Bányász SC;2.0;3.0;4000.0
1971-1972;9.0;1971.10.16;14:00;Kohász Stadion;Salgótarjáni BTC;Újpesti Dózsa SC;2.0;2.0;5000.0
1971-1972;9.0;1971.10.16;19:00;Népstadion;Ferencvárosi TC;Rába Vasas ETO;4.0;0.0;8000.0
1971-1972;9.0;1971.10.17;10:30;Béke téri Stadion;Csepel SC;MTK;0.0;0.0;4000.0
1971-1972;9.0;1971.10.17;14:00;Fáy utcai Stadion;Vasas SC;Komlói Bányász SK;1.0;1.0;3000.0
1971-1972;9.0;1971.10.17;14:00;Sóstói Stadion;Videoton SC;Diósgyőri Vasgyárak TK;2.0;0.0;4000.0
1971-1972;9.0;1971.10.17;14:00;Bányász Stadion;Tatabányai Bányász SC;Szombathelyi Haladás VSE;1.0;1.0;5000.0
1971-1972;9.0;1971.10.17;14:00;PVSK Stadion;Pécsi Dózsa SC;VM Egyetértés SK;1.0;1.0;4000.0
1971-1972;9.0;1971.10.17;17:30;Honvéd-pálya;Budapesti Honvéd SE;Egri Dózsa SE;3.0;2.0;3000.0
1971-1972;8.0;1971.10.12;14:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Salgótarjáni BTC;1.0;1.0;8000.0
1971-1972;8.0;1971.10.13;14:30;Vagongyári pálya;Rába Vasas ETO;Vasas SC;0.0;1.0;5000.0
1971-1972;8.0;1971.10.13;14:30;Bányász Stadion;Komlói Bányász SK;Tatabányai Bányász SC;1.0;1.0;4000.0
1971-1972;8.0;1971.10.13;14:30;Hungária körúti Stadion;MTK;Budapesti Honvéd SE;1.0;4.0;5000.0
1971-1972;8.0;1971.10.13;14:30;Városi Stadion;Egri Dózsa SE;Pécsi Dózsa SC;1.0;0.0;5000.0
